P1;P2;P3;P4;P5;P6;P7;S1
1961;6;7;118;7;0;1592;F
1997;6;7;517;8;35;68;F
1949;6;7;190;8;85;651;F
1972;6;7;241;8;0;0;H
2019;6;6;638;8;35;1;H
0;6;7;132;8;91;7;F
1974;6;7;149;8;0;916;H
2000;6;7;101;8;0;4;H
1998;6;7;154;8;84;3;H
1996;6;7;182;8;0;0;H
0;6;6;111;1;101;4;H
1998;5;6;152;8;0;1;H
0;3;1;0;1;0;1;H
0;6;7;150;1;1;0;H
0;5;7;210;1;35;0;H
0;6;7;309;8;17;3;H
1993;6;6;219;8;0;0;H
1998;6;7;10;8;0;121;H
0;6;6;73;1;0;0;H
1980;6;5;436;8;72;2;F
1988;6;7;192;8;0;1;H
0;6;7;158;1;0;0;H
0;4;5;441;8;35;0;H
1998;6;7;194;8;53;1;H
0;1;3;0;1;0;1;H
1998;6;6;158;8;63;3;H
1998;6;7;197;8;38;1;H
0;2;7;118;1;64;2;H
0;4;6;235;8;0;12;H
1966;4;4;146;8;0;4;H
1971;6;5;112;8;0;4;H
0;6;6;169;8;36;1;H
0;6;6;242;1;68;0;H
0;6;7;454;1;0;1;H
1995;6;7;189;8;0;1;H
1975;5;7;346;8;47;8;F
1997;6;7;248;8;0;8;H
0;3;5;204;8;0;4;H
0;6;6;122;1;1;3;F
2018;1;0;292;8;0;1;H
1987;1;3;136;8;97;9;H
0;4;6;296;8;0;54;H
2001;6;7;160;8;77;6;H
1998;0;0;145;8;0;0;H
1965;5;5;116;8;58;3;F
2018;4;5;137;8;0;4;H
0;6;7;181;1;57;10;F
1998;6;5;312;8;0;8;H
0;6;7;106;8;44;2;H
1999;4;3;114;8;0;1;H
1988;3;4;78;8;0;11;H
1994;6;7;229;8;0;2;F
2003;5;7;118;8;31;2;H
0;6;7;118;1;0;1;H
1989;6;7;278;8;54;1;H
1990;1;5;271;8;111;27;H
1997;6;7;143;8;0;9;F
1992;6;5;265;7;0;1398;H
2000;5;6;152;8;49;141;H
1991;3;4;132;8;0;0;H
0;6;6;228;8;44;11;H
1966;2;6;101;8;36;1;F
1942;6;5;309;8;0;2;F
0;4;5;156;8;70;2;H
2000;3;6;231;8;143;4;H
1997;6;7;239;8;0;3;H
0;6;7;185;8;0;0;F
0;2;6;151;1;44;3;H
1974;1;7;132;8;80;2;F
0;6;7;126;8;0;1;H
1991;3;2;190;8;0;1;H
0;3;4;0;8;0;0;H
0;5;5;124;1;0;1;H
0;6;7;158;8;36;7;F
2018;6;7;341;8;0;2;H
2018;6;4;191;8;0;0;H
1956;5;7;217;8;39;1;F
1985;6;7;263;8;0;7;H
1997;2;4;197;8;0;1;H
1976;6;7;529;8;82;5;H
0;4;5;165;1;660;3;F
1961;4;6;103;8;0;3;H
1998;6;7;0;8;0;6;H
0;6;7;158;1;43;1;H
1993;6;7;206;8;78;6;F
2000;6;7;234;8;48;3;H
2005;3;4;136;8;0;1713;H
0;6;7;92;1;0;0;H
2018;5;6;148;8;62;1;F
0;6;4;259;8;44;4;H
2007;5;6;90;8;663;353;H
1997;5;4;132;8;0;13;H
0;3;3;205;8;0;2;H
0;5;6;148;1;100;3;F
2004;6;6;149;8;203;5;H
1970;6;7;266;8;0;2;H
0;5;7;97;1;0;7;H
0;6;5;0;1;0;6;H
1997;4;7;137;8;30;0;H
1997;1;7;168;8;51;1;F
1996;6;6;396;8;0;1;F
0;6;7;173;1;0;0;H
1992;3;1;249;8;80;18;H
0;0;0;0;1;0;6;H
2018;6;3;171;8;0;4;H
1999;6;7;219;8;0;2;H
0;2;5;219;8;35;1;H
0;4;3;135;1;0;1;H
1946;5;7;153;8;151;10;F
0;6;7;134;1;0;18;H
0;4;5;165;1;49;0;H
0;6;7;206;1;8;50;H
0;6;7;254;1;52;3;F
0;5;7;144;1;0;0;H
1982;6;7;216;8;0;1;H
1977;5;7;84;8;0;6;H
0;3;3;160;8;28;210;H
0;3;2;169;1;0;2;H
0;3;6;162;8;35;2;H
0;2;3;277;1;0;1;H
1995;5;4;243;8;70;1;H
1988;6;7;367;8;42;0;H
1953;6;7;359;8;35;15;H
1991;6;7;187;8;35;3;H
0;6;7;153;1;38;2;H
0;0;2;131;8;0;1;H
1990;6;7;409;8;74;7;H
1996;2;5;117;8;0;0;H
0;6;7;76;8;82;78;H
1996;2;6;136;8;0;1;H
2000;5;6;376;8;0;4;H
1962;4;4;135;8;5;0;F
1962;0;0;298;8;129;21;H
1981;5;6;146;8;0;1;F
0;6;7;485;1;0;0;H
1972;2;2;165;8;39;2;H
0;6;7;160;8;14;1;H
0;2;2;262;1;45;0;H
1956;6;7;21;8;0;65;H
1982;6;7;321;8;89;10;H
1995;5;4;160;8;0;51;H
0;6;7;166;8;0;7;H
0;6;7;184;1;0;1;H
1974;1;4;101;8;0;1;H
2000;6;1;135;8;78;1;H
1992;6;5;399;8;0;1;F
0;6;7;154;1;0;1;H
0;6;6;126;1;0;10;H
2018;4;4;123;8;35;3;H
0;5;3;45;1;0;3;H
0;3;7;636;8;0;48;H
0;6;7;220;8;91;11;H
2003;4;3;235;8;0;1;H
0;6;5;178;8;0;2;F
1970;4;6;266;8;0;9;H
2004;0;0;31;8;3;1;H
1990;0;0;128;8;0;0;F
1994;6;7;160;8;35;1;F
1993;0;4;153;8;45;3;H
2000;1;3;210;8;0;49;H
1997;2;7;303;8;0;562;H
0;2;4;111;8;0;3;H
1995;6;7;143;8;36;1;H
1939;5;4;109;8;0;1;H
1985;6;7;126;8;0;1;H
1953;6;7;321;8;90;3;F
0;6;7;247;8;0;0;F
1993;6;7;145;8;0;2;H
1997;6;7;250;8;0;0;F
2001;5;5;368;8;0;0;H
1979;5;7;234;8;0;31;F
1998;6;7;182;8;0;3;H
0;6;7;152;8;0;0;H
2002;3;6;8;8;115;8;H
1990;6;6;235;8;25;6;F
0;6;7;221;8;0;34;F
1998;1;6;85;8;0;0;H
1994;4;3;182;8;44;1;H
2018;2;3;87;8;46;1;H
0;6;7;92;8;70;5;H
1995;6;7;103;8;0;2;H
0;3;5;134;1;21;2;H
